date,county,democratic,republican,npa_ind_oth,inactive
2015-12-02,Aurora,816,747,229,112
2015-12-02,Beadle,3593,4253,1971,1182
2015-12-02,Bennett,896,644,264,234
2015-12-02,Bon Homme,1392,1809,575,244
2015-12-02,Brookings,5235,7003,4644,2871
2015-12-02,Brown,9221,9645,3974,1912
2015-12-02,Brule,1335,1378,517,222
2015-12-02,Buffalo,678,155,98,22
2015-12-02,Butte,1162,3882,1350,539
2015-12-02,Campbell,149,861,92,116
2015-12-02,Charles Mix,2487,2126,693,492
2015-12-02,Clark,798,1350,329,196
2015-12-02,Clay,2919,2318,1913,1286
2015-12-02,Codington,5320,7025,3509,1835
2015-12-02,Corson,1289,667,383,207
2015-12-02,Custer,1194,3397,1314,603
2015-12-02,Davison,3629,5115,2150,1271
2015-12-02,Day,2007,1440,625,193
2015-12-02,Deuel,935,1165,668,241
2015-12-02,Dewey,2080,677,506,177
2015-12-02,Douglas,352,1554,171,166
2015-12-02,Edmunds,932,1390,431,195
2015-12-02,Fall River,1001,2657,1089,682
2015-12-02,Faulk,435,796,264,116
2015-12-02,Grant,1587,2196,912,506
2015-12-02,Gregory,1017,1428,286,175
2015-12-02,Haakon,228,988,107,54
2015-12-02,Hamlin,846,2300,571,248
2015-12-02,Hand,711,1422,260,177
2015-12-02,Hanson,910,1605,740,460
2015-12-02,Harding,114,739,70,72
2015-12-02,Hughes,2305,6601,1605,1074
2015-12-02,Hutchinson,1072,3027,518,298
2015-12-02,Hyde,230,657,96,50
2015-12-02,Jackson,683,835,257,86
2015-12-02,Jerauld,496,576,167,83
2015-12-02,Jones,111,515,65,39
2015-12-02,Kingsbury,1082,1739,522,240
2015-12-02,Lake,3069,4234,1949,615
2015-12-02,Lawrence,3919,8421,3464,2203
2015-12-02,Lincoln,8312,15879,7372,2781
2015-12-02,Lyman,900,1082,261,174
2015-12-02,Marshall,1266,1011,427,281
2015-12-02,McCook,1180,1698,596,279
2015-12-02,McPherson,292,1243,248,87
2015-12-02,Meade,3157,8717,3148,2038
2015-12-02,Mellette,513,489,128,93
2015-12-02,Miner,691,565,266,132
2015-12-02,Minnehaha,38902,45936,27209,8536
2015-12-02,Moody,1696,1413,862,336
2015-12-02,Oglala Lakota,5708,574,1616,612
2015-12-02,Pennington,16608,32586,16697,7052
2015-12-02,Perkins,479,1316,308,182
2015-12-02,Potter,349,1313,159,60
2015-12-02,Roberts,3328,1789,1183,564
2015-12-02,Sanborn,545,780,185,86
2015-12-02,Spink,1567,1921,584,311
2015-12-02,Stanley,504,1298,262,14
2015-12-02,Sully,243,723,105,28
2015-12-02,Todd,3168,692,766,786
2015-12-02,Tripp,1033,2112,495,317
2015-12-02,Turner,1517,2916,923,446
2015-12-02,Union,2845,4849,2704,1450
2015-12-02,Walworth,835,2330,436,372
2015-12-02,Yankton,4388,5689,2895,1480
2015-12-02,Ziebach,874,384,260,137
